,pair,data,sharpe
46,"[('BZQ', 'DWAS')]","Date
2016-01-04        NaN
2016-01-05    1.00000
2016-01-06    1.00000
2016-01-07    1.00000
2016-01-08    1.00000
               ...   
2021-12-27    1.30478
2021-12-28    1.30478
2021-12-29    1.30478
2021-12-30    1.30478
2021-12-31    1.30478
Name: cum_rets, Length: 1511, dtype: float64",0.5544199459095696
47,"[('BZQ', 'EWV')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.205086
2021-12-28    1.205086
2021-12-29    1.205086
2021-12-30    1.205086
2021-12-31    1.204230
Name: cum_rets, Length: 1511, dtype: float64",0.5411175921946705
48,"[('BZQ', 'FDIS')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.281383
2021-12-28    1.281383
2021-12-29    1.281383
2021-12-30    1.281383
2021-12-31    1.281383
Name: cum_rets, Length: 1511, dtype: float64",0.5267375388388563
49,"[('BZQ', 'FFTY')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.317286
2021-12-28    1.317286
2021-12-29    1.317286
2021-12-30    1.317286
2021-12-31    1.317286
Name: cum_rets, Length: 1511, dtype: float64",0.6201352885707562
50,"[('BZQ', 'FXP')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.213991
2021-12-28    1.213991
2021-12-29    1.213991
2021-12-30    1.213991
2021-12-31    1.213991
Name: cum_rets, Length: 1511, dtype: float64",0.639889837520153
51,"[('BZQ', 'HDGE')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.274064
2021-12-28    1.274064
2021-12-29    1.274064
2021-12-30    1.274064
2021-12-31    1.274064
Name: cum_rets, Length: 1511, dtype: float64",0.7495251119192357
52,"[('BZQ', 'LABD')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.325834
2021-12-28    1.325834
2021-12-29    1.325834
2021-12-30    1.325834
2021-12-31    1.325834
Name: cum_rets, Length: 1511, dtype: float64",0.6536042377232214
53,"[('CHAD', 'DNL')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.201546
2021-12-28    1.201546
2021-12-29    1.201546
2021-12-30    1.201546
2021-12-31    1.201546
Name: cum_rets, Length: 1511, dtype: float64",0.7914363536612417
54,"[('CHAD', 'EFG')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.110433
2021-12-28    1.110433
2021-12-29    1.110433
2021-12-30    1.110433
2021-12-31    1.110433
Name: cum_rets, Length: 1511, dtype: float64",0.5129124417716727
55,"[('CHAD', 'FAZ')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.203372
2021-12-28    1.203372
2021-12-29    1.203372
2021-12-30    1.203372
2021-12-31    1.203372
Name: cum_rets, Length: 1511, dtype: float64",0.65689087516718
