,pairs,p_values
259,"('AFK', 'MOTI')",0.0030729182965061282
260,"('AFK', 'NGE')",0.03725904821365347
261,"('AFK', 'PNQI')",0.03638252952679002
262,"('AFK', 'PSJ')",0.036480765928326546
263,"('AFTY', 'ARGT')",0.020148062587009987
264,"('AFTY', 'BBH')",0.03270093183160812
265,"('AFTY', 'BIB')",0.039178716165366216
266,"('AFTY', 'BIS')",0.021829481460752084
267,"('AFTY', 'CHIM')",0.024797948590885945
268,"('AFTY', 'CIL')",0.04401972123767577
269,"('AFTY', 'CIZ')",0.04555754435673327
270,"('AFTY', 'CSD')",0.04543136071455308
271,"('AFTY', 'CUT')",0.03299801693649582
272,"('AFTY', 'DEEF')",0.04407737403522394
273,"('AFTY', 'DFJ')",0.027532960949471517
274,"('AFTY', 'DIG')",0.049019140768395066
275,"('AFTY', 'DIM')",0.03802787587391705
276,"('AFTY', 'DLS')",0.033754919272316775
277,"('AFTY', 'DXJS')",0.04303053586121024
278,"('AFTY', 'EDEN')",0.04283171477892201
279,"('AFTY', 'EFA')",0.04634710316888365
280,"('AFTY', 'EFAD')",0.0398132565983447
281,"('AFTY', 'EFAV')",0.027922198489068954
282,"('AFTY', 'EFO')",0.04596775732413884
283,"('AFTY', 'EIRL')",0.021310710289922596
284,"('AFTY', 'EPU')",0.01767677229657449
285,"('AFTY', 'ERX')",0.047640458384653715
286,"('AFTY', 'EWGS')",0.0316445682908891
287,"('AFTY', 'EWJ')",0.028186078085225587
288,"('AFTY', 'EWN')",0.042134871205645255
289,"('AFTY', 'EWUS')",0.02677386118563855
290,"('AFTY', 'EWV')",0.04190311644580563
291,"('AFTY', 'EZJ')",0.025803881521437335
292,"('AFTY', 'FBT')",0.04668316796925367
293,"('AFTY', 'FCOM')",0.0456645510465645
294,"('AFTY', 'FDTS')",0.033099382709618895
295,"('AFTY', 'FEUZ')",0.04031638525905524
296,"('AFTY', 'FJP')",0.024189814489965936
297,"('AFTY', 'FXH')",0.020586171979464288
298,"('AFTY', 'GNR')",0.04848389291774762
299,"('AFTY', 'GOEX')",0.04702460123264045
300,"('AFTY', 'GSIE')",0.04699110232990745
301,"('AFTY', 'GUNR')",0.037724641295508766
302,"('AFTY', 'GWX')",0.047067411965499975
303,"('AFTY', 'HSCZ')",0.0330281851005537
304,"('AFTY', 'IBB')",0.034886550120903026
305,"('AFTY', 'IDLB')",0.018351209680702883
306,"('AFTY', 'IEFA')",0.04249664066075248
